Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
65,1.3186e+06,2.543e+06,3.8615e+06,0
66,1.0083e+06,2.1111e+06,3.1194e+06,0
67,3.9849e+05,1.9434e+06,2.3419e+06,0
68,1.0816e+06,2.4267e+06,3.5083e+06,0
69,1.0612e+06,2.3721e+06,3.4333e+06,0
70,1.0413e+06,2.1778e+06,3.2191e+06,0
71,1.2312e+06,2.4331e+06,3.6643e+06,0
72,1.1837e+06,2.4589e+06,3.6426e+06,0
73,1.2105e+06,2.2898e+06,3.5003e+06,0
74,1.2245e+06,2.52e+06,3.7445e+06,0
75,8.3365e+05,2.0485e+06,2.8822e+06,0
76,1.1392e+06,2.4089e+06,3.5481e+06,0
77,8.6657e+05,2.1148e+06,2.9813e+06,0
78,1.0312e+06,2.0997e+06,3.131e+06,0
79,1.4177e+06,2.3184e+06,3.736e+06,0
80,1.1194e+06,2.276e+06,3.3954e+06,0
81,1.231e+06,2.4107e+06,3.6417e+06,0
82,1.1132e+06,2.3445e+06,3.4577e+06,0
83,1.2274e+06,2.0646e+06,3.292e+06,0
84,1.0698e+06,2.2068e+06,3.2765e+06,0
85,9.7011e+05,2.3327e+06,3.3028e+06,0
86,1.1428e+06,2.4233e+06,3.5662e+06,0
87,1.161e+06,2.3279e+06,3.4889e+06,0
88,1.0541e+06,2.2026e+06,3.2567e+06,0
89,1.0848e+06,1.9602e+06,3.045e+06,0
90,1.1665e+06,2.3897e+06,3.5562e+06,0
91,3.4492e+05,1.9049e+05,5.3541e+05,1
92,9.6131e+05,1.2538e+06,2.2151e+06,1
93,9.5481e+05,2.5957e+06,3.5505e+06,1
94,4.6294e+05,4.4319e+05,9.0613e+05,1
95,3.7881e+05,3.9451e+05,7.7333e+05,1
96,1.0877e+06,1.5433e+06,2.631e+06,1
97,8.9975e+05,1.2236e+06,2.1233e+06,1
98,1.218e+06,2.4954e+06,3.7135e+06,1
99,5.6261e+05,3.4934e+05,9.1195e+05,1
100,4.2062e+05,4.1813e+05,8.3875e+05,1
